50.530 7.210 162    FMS    C    NF    6.000    DEU    24    NO    SUB    1309
48.067 8.067 145    BO    C    U    0.300    DEU    25    NO    SUB    1029
50.620 6.200 154    FMS    C    TF    6.000    BEL    7    NO    SUB    1339
48.200 8.100 160    BO    C    U    0.190    DEU    26    NO    SUB    1043
48.233 8.283 125    BO    C    U    0.265    DEU    27    NO    SUB    1043
48.120 7.970 113    FMS    C    SS    17.000    DEU    28    NO    SUB    1037
50.040 8.300 148    FMS    C    NF    5.000    DEU    29    NO    SUB    1238
48.383 9.200 156    FMS    C    NS    12.500    DEU    30    NO    SUB    1046
48.383 9.167 145    FMS    C    SS    15.500    DEU    31    NO    SUB    1046
48.283 9.033 150    FMS    C    SS    6.000    DEU    32    NO    SUB    1037
50.180 7.700 129    FMS    C    NF    6.000    DEU    33    NO    SUB    1263
52.933 9.583 141    BO    A    U    3.600    DEU    34    NO    SUB    1543
48.367 10.883 173    FMS    C    NS    28.000    DEU    35    NO    SUB    1033
50.170 9.100 158    FMS    C    SS    8.000    DEU    37    NO    SUB    1243
50.680 7.990 118    FMS    C    NS    13.000    DEU    38    NO    SUB    1312
48.326 9.039 140    FMS    C    SS    6.300    DEU    39    NO    SUB    1042
48.300 9.000 153    FMS    C    SS    9.000    DEU    40    NO    SUB    1039
50.260 11.358 122    OC    C    SS    0.188    DEU    41    NO    SUB    1242
48.488 9.423 172    BO    A    U    2.612    DEU    44    NO    SUB    1055
51.060 5.970 141    FMS    C    NF    13.000    NLD    3    NO    SUB    1390
50.650 6.690 38    FMS    C    NF    9.000    DEU    52    NO    SUB    1331
50.070 7.940 135    FMS    C    TF    11.000    DEU    53    NO    SUB    1247
50.400 12.700 155    GFI    C    U    0.000    CZE    10    NO    SUB    1262
48.170 8.080 151    BO    C    U    0.150    DEU    64    NO    SUB    1040
53.250 8.950 160    BOC    C    U    2.200    DEU    70    NO    SUB    1582
53.150 9.850 130    BOC    C    U    2.200    DEU    71    NO    SUB    1565
53.080 9.700 145    BOC    C    U    2.200    DEU    72    NO    SUB    1558
52.730 9.600 150    BOC    C    U    2.200    DEU    73    NO    SUB    1520
52.760 9.150 150    BOC    C    U    2.200    DEU    74    NO    SUB    1526
52.680 8.600 150    BOC    C    U    2.200    DEU    75    NO    SUB    1522
52.710 8.500 150    BOC    C    U    2.200    DEU    76    NO    SUB    1527
51.850 7.850 90    BOC    C    U    2.200    DEU    77    NO    SUB    1441
52.350 7.280 150    BOC    C    U    2.200    DEU    79    NO    SUB    1503
52.400 6.700 135    BOC    C    U    2.200    NLD    4    NO    SUB    1517
52.750 6.680 130    BOC    C    U    2.200    NLD    5    NO    SUB    1555
52.620 6.500 120    BOC    C    U    2.200    NLD    6    NO    SUB    1544
50.400 8.183 165    HFM    C    U    0.241    DEU    83    NO    SUB    1279
50.433 8.217 139    HFM    C    U    0.296    DEU    84    NO    SUB    1282
48.450 8.483 123    HFM    C    U    0.258    DEU    85    NO    SUB    1063
48.149 7.753 74    OC    C    SS    0.041    DEU    87    NO    SUB    1044
47.840 8.047 93    OC    C    NF    0.095    DEU    88    NO    SUB    1005
50.200 9.513 152    OC    C    NF    0.030    DEU    92    NO    SUB    1242
49.955 11.083 108    HFM    C    U    0.084    DEU    95    NO    SUB    1208
49.866 11.175 101    HFM    B    U    0.226    DEU    96    NO    SUB    1198
37.800 -3.400 104    FMS    C    SS    7.000    ESP    1    NO    CCB    202
37.000 -2.300 176    FMS    C    NF    9.000    ESP    16    NO    CCB    103
37.800 -4.600 99    FMS    C    TF    5.000    ESP    17    NO    CCB    245
60.230 25.020 141    OC    C    TF    0.017    FIN    18    NO    OSR    1623
61.650 22.690 153    HFM    B    TF    0.350    FIN    20    NO    OSR    1433
43.420 5.540 5    FMS    C    NS    6.000    FRA    8    NO    CCB    645
43.950 4.720 15    FMS    C    NF    11.000    FRA    9    NO    CCB    729
43.660 4.560 4    FMS    C    NF    14.000    FRA    10    NO    CCB    708
44.640 5.210 57    FMS    C    TF    8.000    FRA    11    NO    CCB    777
43.990 6.160 176    FMS    C    TF    5.000    FRA    14    NO    SUB    677
44.000 6.130 3    FMS    C    TF    3.000    FRA    15    NO    SUB    680
48.967 3.533 157    BO    B    U    1.745    FRA    16    NO    SUB    1250
44.380 6.450 83    FMS    C    TF    2.000    FRA    18    NO    SUB    700
44.280 6.440 3    FMS    C    NS    3.000    FRA    19    NO    SUB    691
45.310 6.570 36    FMS    C    SS    5.000    FRA    22    NO    SUB    784
47.650 5.600 144    FMS    C    SS    12.000    FRA    23    NO    SUB    1050
44.530 6.780 24    FMS    C    SS    0.000    FRA    24    NO    SUB    701
50.267 3.167 127    BO    B    U    2.238    FRA    25    NO    SUB    1388
44.960 5.630 0    FMS    C    NF    3.000    FRA    26    NO    SUB    789
46.310 6.790 143    FMS    C    NF    9.000    FRA    27    NO    SUB    877
44.340 6.750 51    FMS    C    TF    0.000    FRA    28    NO    SUB    684
44.380 6.350 70    FMS    C    SS    0.000    FRA    29    NO    SUB    704
45.270 6.670 58    FMS    C    TF    0.000    FRA    30    NO    SUB    777
44.390 6.930 42    FMS    C    NF    0.000    ITA    1    NO    SUB    681
