Harvard CMT Catalog
Search criteria:

Start date: 2000/1/1   End date: 2001/1/1
-90 <=lat<= 90          -180 <=lon<= 180 
0 <=depth<= 1000         -9999 <=time shift<= 9999
0 <=mb<= 10        0<=Ms<= 10           0<=Mw<= 10
0 <=tension plunge<= 90         0 <=null plunge<= 90

Results
Output in GMT psmeca (GMT v>3.3) format
Columns: lon lat depth mrr mtt mpp mrt mrp mtp iexp name

-172.41 -17.70 22 4.55 -1.78 -2.77 2.12 2.74 -0.04 23 X Y 011800E
66.67 1.20 15 -0.46 0.65 -0.19 1.21 -0.71 -0.31 24 X Y 011800G
70.29 36.30 224 7.84 -8.67 0.83 -3.90 2.86 1.45 24 X Y 011900A
-74.78 -16.44 24 0.76 -0.55 -0.21 -0.24 -1.09 0.75 24 X Y 011900B
101.33 19.92 15 -0.09 -1.20 1.29 0.00 0.32 0.92 24 X Y 011900C
-176.16 -28.22 15 1.31 0.14 -1.45 0.81 3.44 -0.38 24 X Y 012000A
148.14 -7.03 15 0.28 0.03 -0.31 1.07 1.48 -0.12 24 X Y 012000B
-161.64 56.45 218 0.52 2.94 -3.46 1.46 -2.48 -1.95 24 X Y 012000C
-127.77 43.58 15 -0.04 -1.13 1.17 0.15 -0.11 -0.90 25 X Y 012000D
176.82 51.66 44 -0.86 -0.23 1.09 -0.71 0.19 -0.10 24 X Y 012000F
125.72 13.27 15 -2.88 1.25 1.63 -1.33 2.12 -1.62 24 X Y 012100A
-17.06 -59.31 15 -0.31 -1.11 1.42 0.10 -0.63 5.25 24 X Y 012100B
152.56 -6.53 19 -7.09 5.82 1.27 2.78 0.52 1.39 23 X Y 012200A
66.07 -17.66 15 -0.42 -1.35 1.76 -0.74 0.01 0.77 24 X Y 012200E
-177.77 51.16 55 1.06 -0.90 -0.15 0.06 0.27 0.16 24 X Y 012200F
120.99 -7.77 15 4.54 -3.97 -0.57 0.90 -1.82 -1.65 24 X Y 012300A
130.84 30.03 31 0.03 -0.31 0.27 0.05 -0.75 -1.49 24 X Y 012300B
121.28 -7.70 41 2.64 -2.11 -0.53 0.79 -0.42 -0.87 24 X Y 012300C
-149.29 57.47 15 1.52 -2.63 1.11 0.02 0.60 0.09 24 X Y 012300E
-176.74 -16.87 20 -0.93 -4.24 5.18 0.74 -0.05 0.39 24 X Y 012300F
179.50 -24.72 552 8.49 -9.68 1.19 0.52 -6.14 -8.32 23 X Y 012300H
-176.76 -17.07 18 -0.28 -1.43 1.71 0.05 -0.03 0.54 24 X Y 012300I
-173.51 -17.21 69 -1.35 -0.03 1.38 -0.31 -2.53 0.57 25 X Y 012600A
95.72 30.79 33 0.98 0.13 -1.11 1.02 2.06 6.00 23 X Y 012600C
52.73 40.27 65 2.28 -0.33 -1.95 4.34 4.23 7.68 23 X Y 012600D
-105.78 -35.18 15 -0.13 -0.19 0.32 -0.35 0.11 -1.10 24 X Y 012700A
142.16 31.99 24 2.80 4.77 -7.57 3.91 1.92 -4.78 23 X Y 012700B
123.00 -7.21 596 0.94 -2.00 1.06 -0.41 -0.63 -0.40 24 X Y 012800A
146.81 43.08 50 0.51 0.60 -1.10 1.34 0.63 -0.91 26 X Y 012800B
124.56 25.92 201 -7.94 3.55 4.40 -10.00 -2.62 -1.68 24 X Y 012800C
88.96 -1.35 15 -0.11 -1.18 1.29 -0.41 0.11 -1.85 24 X Y 012800F
119.14 -9.80 88 -0.93 1.87 -0.94 1.01 -0.52 2.17 24 X Y 012800G
126.38 4.98 88 2.65 -0.42 -2.23 -1.27 -1.72 3.29 23 X Y 012900A
111.60 -8.97 69 1.11 -1.30 0.19 0.92 -0.09 -0.31 24 X Y 012900C
88.75 38.00 33 0.34 -0.72 0.38 0.23 0.29 1.36 24 X Y 013100A
-88.98 12.69 65 4.21 -5.21 1.00 -1.64 -3.19 2.92 23 X Y 020100B
124.96 -49.16 15 -0.64 0.40 0.25 1.05 -0.02 -0.04 24 X Y 020200A
148.98 -5.96 119 -4.40 7.98 -3.58 -3.69 -5.07 3.75 23 X Y 020200B
58.19 35.46 27 9.65 -9.83 0.19 -0.97 1.31 0.03 23 X Y 020200C
-154.76 65.03 15 0.47 1.15 -1.63 -0.34 1.70 -2.41 24 X Y 020300A
121.70 13.72 27 -1.53 0.92 0.61 0.36 0.65 0.94 24 X Y 020300B
9.45 75.16 16 1.07 0.38 -1.45 -0.95 0.61 -0.12 24 X Y 020300C
-86.56 -41.38 15 -0.02 0.21 -0.19 0.44 -0.04 -1.00 24 X Y 020400B
126.38 1.52 37 1.43 0.02 -1.45 -0.01 -0.92 -0.41 24 X Y 020600A
151.19 -6.06 45 6.65 -4.72 -1.92 6.00 2.87 -3.10 25 X Y 020600C
148.02 42.98 99 2.38 -1.68 -0.70 -1.19 -4.89 -2.77 23 X Y 020700A
141.88 31.08 20 7.05 1.60 -8.65 -8.65 8.82 -2.64 23 X Y 020700B
169.76 -22.03 29 1.16 -0.39 -0.77 0.49 -0.50 0.59 24 X Y 020800A
-172.30 -16.77 21 6.08 0.22 -6.30 1.45 0.67 0.82 23 X Y 020900A
65.67 -27.41 15 -1.63 6.13 -4.50 0.00 0.00 0.44 23 X Y 020900C
45.95 12.01 15 -3.72 6.59 -2.87 0.00 0.00 -0.06 23 X Y 021000A
126.32 1.19 23 1.92 -0.33 -1.59 -0.07 -0.18 -0.55 24 X Y 021000B
128.41 3.05 214 0.85 -1.02 0.17 0.48 -6.10 1.33 23 X Y 021000C
65.43 -27.64 15 -1.54 2.10 -0.56 1.60 -0.37 0.18 24 X Y 021000D
65.57 -27.61 15 -4.93 9.70 -4.78 -0.69 -3.32 -3.35 23 X Y 021000F
-110.91 -35.58 15 -1.45 -3.49 4.94 -2.56 0.03 -2.05 23 X Y 021100B
90.88 34.05 33 0.24 -2.64 2.40 -0.31 -1.15 4.88 23 X Y 021200A
153.12 -4.21 133 2.74 -2.43 -0.30 5.93 1.43 0.26 23 X Y 021200B
112.44 -8.76 130 -6.88 9.15 -2.28 1.07 -3.32 1.38 23 X Y 021200C
0.44 80.51 15 -1.15 -3.72 4.86 0.40 0.40 -1.17 23 X Y 021200E
-174.60 -15.77 238 -6.62 2.65 3.97 2.53 -4.07 4.80 24 X Y 021200F
155.06 -6.71 44 6.68 -3.28 -3.40 1.62 -1.50 3.24 24 X Y 021200G
167.92 -15.45 25 1.25 -0.07 -1.18 0.50 0.67 0.20 24 X Y 021300A
131.64 42.77 524 -1.04 8.39 -7.36 -1.01 -5.34 -5.50 24 X Y 021300B
126.88 5.73 133 3.65 -3.29 -0.36 0.13 0.40 1.29 24 X Y 021300E
46.30 11.89 15 -0.95 1.43 -0.47 0.91 0.27 -0.17 24 X Y 021400A
141.84 31.05 15 6.51 2.53 -9.04 2.26 4.52 1.58 23 X Y 021400D
145.54 17.67 526 -4.93 1.31 3.62 -3.26 -2.40 3.35 24 X Y 021500A
120.57 22.93 29 7.77 -1.37 -6.40 3.63 -0.05 -2.98 23 X Y 021500C
-61.00 17.92 15 0.41 -0.11 -0.31 -0.43 1.02 0.20 24 X Y 021600A
145.20 37.21 16 -1.36 1.31 0.05 0.10 -0.03 -0.05 24 X Y 021600B
167.09 -10.98 15 -3.86 0.09 3.76 -1.75 1.67 -0.66 23 X Y 021600C
166.97 -10.89 15 -3.41 0.55 2.87 -0.38 -0.93 -1.50 24 X Y 021600D
166.66 -10.98 15 -1.45 0.09 1.36 -0.33 -0.65 -0.44 24 X Y 021600E
