!Plate boundaries by Peter Bird (2003)
>   AF   AN
 170.1030  -43.3578    AU    PA
 170.6380  -43.0879    AU    PA
 170.9950  -42.9318    AU    PA
 171.2770  -42.7430    AU    PA
 171.4730  -42.6755    AU    PA
 171.8590  -42.6156    AU    PA
 172.5930  -42.4830    AU    PA
 173.1260  -42.3917    AU    PA
 173.7240  -42.2908    AU    PA
 174.3040  -42.2013    AU    PA
 174.9880  -42.1219    AU    PA
 175.5030  -42.0593    AU    PA
>   KE   PA
 175.5030  -42.0593    KE    PA
 176.0810  -41.9100    KE    PA
 176.6730  -41.7560    KE    PA
 177.1230  -41.6566    KE    PA
 177.6070  -41.4997    KE    PA
 178.0150  -41.1879    KE    PA
 178.2840  -40.8071    KE    PA
 178.5660  -40.4240    KE    PA
 178.7920  -40.0870    KE    PA
 178.9500  -39.6848    KE    PA
 179.1250  -39.2296    KE    PA
 179.2150  -38.8885    KE    PA
 179.3660  -38.5380    KE    PA
 179.5690  -38.2045    KE    PA
 179.8380  -37.4758    KE    PA
-179.8110  -36.7930    KE    PA
-179.3710  -36.1790    KE    PA
-179.0440  -35.5423    KE    PA
-178.6410  -35.0218    KE    PA
-178.5390  -34.7058    KE    PA
-178.4130  -34.4854    KE    PA
-178.2940  -34.2413    KE    PA
-178.2080  -33.8459    KE    PA
-177.9810  -33.5795    KE    PA
-177.8100  -33.1908    KE    PA
-177.6660  -32.6959    KE    PA
-177.6490  -32.2028    KE    PA
-177.5380  -31.9574    KE    PA
-177.3010  -31.7932    KE    PA
-177.1080  -31.4517    KE    PA
-176.9190  -31.0374    KE    PA
-176.6900  -30.6779    KE    PA
-176.5470  -30.3215    KE    PA
-176.3390  -29.8808    KE    PA
-176.1530  -29.4691    KE    PA
-176.0780  -29.0653    KE    PA
-175.9950  -28.6971    KE    PA
-175.8850  -28.2638    KE    PA
-175.7850  -27.7843    KE    PA
-175.5450  -27.3180    KE    PA
-175.4000  -26.8569    KE    PA
-175.4230  -26.4372    KE    PA
-175.4150  -26.0248    KE    PA
-175.3820  -25.7295    KE    PA
-175.2970  -25.4257    KE    PA
-175.2610  -25.1425    KE    PA
-175.2290  -24.8362    KE    PA
-175.2090  -24.4719    KE    PA
-175.1020  -24.0701    KE    PA
-174.9850  -23.7499    KE    PA
>   TO   PA
-174.9850  -23.7499    TO    PA
-174.8420  -23.5126    TO    PA
-174.6630  -23.2205    TO    PA
-174.4890  -22.9058    TO    PA
-174.3230  -22.6169    TO    PA
-174.1390  -22.2898    TO    PA
-173.9520  -21.9153    TO    PA
-173.8180  -21.5263    TO    PA
-173.7030  -21.2476    TO    PA
-173.5510  -20.8926    TO    PA
-173.4030  -20.5862    TO    PA
-173.2180  -20.2040    TO    PA
-173.0530  -19.7788    TO    PA
-172.9700  -19.4608    TO    PA
-172.8740  -19.0710    TO    PA
-172.7860  -18.7769    TO    PA
-172.6980  -18.4832    TO    PA
-172.5910  -18.1523    TO    PA
-172.5400  -17.9348    TO    PA
-172.4450  -17.6766    TO    PA
-172.3740  -17.2706    TO    PA
-172.3350  -16.9629    TO    PA
-172.3110  -16.7157    TO    PA
-172.3070  -16.3319    TO    PA
-172.3000  -16.0410    TO    PA
-172.3310  -15.7320    TO    PA
-172.3550  -15.5611    TO    PA
-172.4280  -15.3734    TO    PA
-172.6020  -15.1514    TO    PA
-172.7740  -15.0330    TO    PA
-172.9390  -14.8669    TO    PA
-173.1300  -14.7848    TO    PA
-173.2730  -14.6967    TO    PA
-173.4070  -14.5840    TO    PA
>   KE   AU
-177.4190  -24.1051    KE    AU
-177.4480  -24.2420    KE    AU
-177.5520  -24.7196    KE    AU
-177.6570  -25.1971    KE    AU
-177.7930  -25.9755    KE    AU
-178.0170  -26.7672    KE    AU
-178.2480  -27.3765    KE    AU
-178.4820  -27.9855    KE    AU
-178.7130  -28.6927    KE    AU
-178.9660  -29.4983    KE    AU
-179.0740  -29.7924    KE    AU
-179.2260  -30.3553    KE    AU
-179.3930  -30.9968    KE    AU
-179.5150  -31.3328    KE    AU
-179.7400  -31.7510    KE    AU
 179.9800  -32.3467    KE    AU
 179.6570  -33.0187    KE    AU
 179.3450  -33.6016    KE    AU
 178.9960  -34.2460    KE    AU
 178.6810  -34.7863    KE    AU
 178.4030  -35.1612    KE    AU
 177.8900  -35.9174    KE    AU
 177.5070  -36.4610    KE    AU
 177.0490  -37.1022    KE    AU
 176.7700  -37.4850    KE    AU
 176.5090  -37.8849    KE    AU
 176.2410  -38.2869    KE    AU
 175.9950  -38.6742    KE    AU
 175.9320  -38.7623    KE    AU
 175.6090  -39.2297    KE    AU
 176.0740  -40.0461    KE    AU
 175.8680  -40.3108    KE    AU
 175.5370  -40.5983    KE    AU
 175.3240  -40.7906    KE    AU
 175.0120  -40.9786    KE    AU
 174.6320  -41.1571    KE    AU
 174.7630  -41.5656    KE    AU
 174.9450  -41.7569    KE    AU
 175.5030  -42.0593    KE    AU
>   PA   NI
-176.3460  -14.6340    PA    NI
-175.8650  -14.4781    PA    NI
-175.3090  -14.4066    PA    NI
-174.7540  -14.3339    PA    NI
-174.0830  -14.3791    PA    NI
-173.8360  -14.5338    PA    NI
>   PA   TO
-173.8360  -14.5338    PA    TO
-173.4070  -14.5840    PA    TO
>   WL   MO
 138.9720   -1.6075    WL    MO
 139.2050   -2.0926    WL    MO
 139.4390   -2.5777    WL    MO
 139.8090   -3.1778    WL    MO
 140.0700   -3.6445    WL    MO
 140.3280   -4.0450    WL    MO
 140.5660   -4.5857    WL    MO
 140.7980   -5.1096    WL    MO
>   WL   AU
 140.7980   -5.1096    WL    AU
 140.8470   -5.1450    WL    AU
 141.4830   -5.7274    WL    AU
 142.2310   -5.9864    WL    AU
 142.9560   -6.2947    WL    AU
 143.5690   -6.5582    WL    AU
 144.1360   -6.8131    WL    AU
 144.7400   -7.0234    WL    AU
 145.2490   -7.3736    WL    AU
 145.6660   -7.6609    WL    AU
 146.3980   -8.1025    WL    AU
 146.9180   -8.4104    WL    AU
 146.9540   -8.5983    WL    AU
>   SB   SS
 148.5870   -7.3945    SB    SS
 149.3140   -7.0322    SB    SS
 149.8600   -6.9394    SB    SS
 150.1460   -6.8815    SB    SS
 150.6630   -6.6936    SB    SS
 151.1480   -6.4425    SB    SS
 151.5190   -6.2103    SB    SS
 151.8760   -5.9255    SB    SS
 152.2570   -5.7549    SB    SS
 152.6530   -5.6402    SB    SS
 153.1070   -5.7407    SB    SS
 153.5190   -5.9464    SB    SS
 153.9300   -6.2650    SB    SS
>   NB   SS
 153.9300   -6.2650    NB    SS
 154.2250   -6.5069    NB    SS
 154.5400   -6.8178    NB    SS
 154.9270   -7.2928    NB    SS
>   PA   SS
 154.9270   -7.2928    PA    SS
 155.4540   -7.4887    PA    SS
>   PA   WL
 155.4540   -7.4887    PA    WL
 155.8120   -7.7059    PA    WL
 156.0470   -7.8838    PA    WL
 156.2960   -8.1740    PA    WL
>   SS   WL
 148.5870   -7.3945    SS    WL
 148.7330   -7.4752    SS    WL
 148.9440   -7.6069    SS    WL
 149.1480   -7.6647    SS    WL
 149.3340   -7.6649    SS    WL
 149.6090   -7.6242    SS    WL
 149.8660   -7.6122    SS    WL
 150.1730   -7.6290    SS    WL
 150.5550   -7.6870    SS    WL
 150.9170   -7.7572    SS    WL
 151.3070   -7.8522    SS    WL
 151.6800   -7.9553    SS    WL
 152.0620   -8.1036    SS    WL
 152.4110   -8.2601    SS    WL
 152.6850   -8.3878    SS    WL
 152.9590   -8.5442    SS    WL
 153.1080   -8.6840    SS    WL
 153.1700   -8.7827    SS    WL
 153.2370   -8.8895    SS    WL
 153.2550   -9.1861    SS    WL
>   AU   WL
 151.6540   -9.7600    AU    WL
 151.5450   -9.6759    AU    WL
 151.0050   -9.6814    AU    WL
 150.4660   -9.6869    AU    WL
 150.2450   -9.9453    AU    WL
 149.6760   -9.8009    AU    WL
 149.1330   -9.3526    AU    WL
 148.7510   -9.5697    AU    WL
 148.2070   -9.2118    AU    WL
 147.5390   -8.8865    AU    WL
 146.9540   -8.5983    AU    WL
>   PA   AU
 156.2960   -8.1740    PA    AU
 156.4670   -8.3819    PA    AU
 156.7060   -8.5629    PA    AU
 156.7820   -8.6018    PA    AU
 156.8580   -8.6154    PA    AU
 156.9350   -8.6416    PA    AU
 157.0490   -8.7062    PA    AU
 157.1770   -8.7456    PA    AU
 157.2410   -8.7843    PA    AU
 157.3170   -8.8231    PA    AU
 157.4190   -8.9002    PA    AU
 157.5720   -8.9651    PA    AU
 157.6480   -9.0039    PA    AU
 157.7240   -9.0680    PA    AU
 157.8270   -9.1071    PA    AU
 157.9160   -9.1586    PA    AU
 157.9920   -9.2100    PA    AU
 158.0560   -9.2487    PA    AU
 158.1450   -9.3128    PA    AU
 158.2730   -9.3901    PA    AU
 158.3880   -9.4418    PA    AU
 158.4780   -9.4806    PA    AU
 158.5800   -9.5068    PA    AU
 158.7090   -9.5459    PA    AU
 158.7730   -9.5590    PA    AU
 158.8500   -9.5850    PA    AU
 158.9260   -9.6236    PA    AU
 159.0030   -9.6495    PA    AU
 159.0680   -9.6880    PA    AU
 159.1190   -9.7264    PA    AU
 159.1700   -9.7648    PA    AU
 159.2210   -9.8285    PA    AU
 159.2850   -9.8797    PA    AU
 159.3620   -9.9309    PA    AU
 159.4390   -9.9695    PA    AU
 159.5030  -10.0206    PA    AU
 159.5800  -10.0844    PA    AU
 159.6440  -10.1229    PA    AU
 159.7080  -10.1739    PA    AU
 159.7720  -10.1997    PA    AU
 159.8370  -10.2507    PA    AU
 159.9140  -10.2765    PA    AU
 159.9780  -10.3149    PA    AU
 160.0680  -10.3787    PA    AU
 160.1320  -10.4170    PA    AU
 160.2100  -10.4681    PA    AU
 160.2870  -10.5192    PA    AU
 160.3640  -10.5702    PA    AU
 160.4930  -10.6341    PA    AU
 160.5440  -10.6723    PA    AU
 160.6220  -10.7233    PA    AU
 160.7250  -10.7870    PA    AU
 160.7760  -10.8379    PA    AU
 160.8670  -10.9142    PA    AU
 160.9310  -10.9651    PA    AU
 160.9960  -11.0287    PA    AU
 161.0600  -11.0541    PA    AU
 161.1250  -11.1304    PA    AU
 161.2020  -11.1685    PA    AU
 161.3060  -11.1940    PA    AU
 161.3840  -11.2321    PA    AU
 161.4610  -11.2448    PA    AU
 161.5520  -11.2829    PA    AU
 161.7200  -11.3209    PA    AU
 161.7980  -11.3589    PA    AU
 161.9010  -11.3968    PA    AU
 162.0180  -11.4220    PA    AU
 162.1090  -11.4345    PA    AU
 162.2250  -11.4216    PA    AU
 162.3540  -11.4212    PA    AU
 162.4840  -11.4208    PA    AU
 162.6260  -11.3823    PA    AU
 162.8330  -11.3560    PA    AU
 163.0530  -11.3106    PA    AU
 163.1950  -11.2908    PA    AU
 163.3110  -11.2647    PA    AU
 163.5050  -11.2381    PA    AU
 163.6990  -11.1987    PA    AU
 163.8540  -11.1848    PA    AU
 163.9960  -11.1583    PA    AU
 164.1510  -11.1443    PA    AU
 164.2670  -11.1179    PA    AU
 164.4090  -11.0913    PA    AU
 164.5120  -11.0903    PA    AU
 164.6410  -11.1143    PA    AU
 164.7580  -11.1637    PA    AU
 164.9010  -11.2002    PA    AU
 165.0700  -11.2869    PA    AU
 165.2520  -11.4113    PA    AU
 165.3960  -11.5487    PA    AU
 165.5140  -11.6864    PA    AU
 165.6210  -11.8875    PA    AU
 165.7150  -12.1266    PA    AU
 165.7700  -12.3157    PA    AU
 165.8380  -12.5171    PA    AU
 165.8940  -12.7440    PA    AU
 165.9090  -12.8703    PA    AU
 165.9520  -13.0721    PA    AU
 166.0200  -13.2608    PA    AU
 166.0900  -13.5126    PA    AU
 166.1320  -13.6763    PA    AU
 166.1540  -13.7794    PA    AU
>   NH   AU
 166.1540  -13.7794    NH    AU
 166.1610  -13.8276    NH    AU
 166.2040  -13.9913    NH    AU
 166.2340  -14.1805    NH    AU
 166.2500  -14.3447    NH    AU
 166.2520  -14.4205    NH    AU
 166.2680  -14.5594    NH    AU
 166.2710  -14.6859    NH    AU
 166.2620  -14.8885    NH    AU
 166.2130  -15.0413    NH    AU
 166.2280  -15.1296    NH    AU
 166.2170  -15.2437    NH    AU
 166.1930  -15.3454    NH    AU
 166.2090  -15.4337    NH    AU
 166.2250  -15.5599    NH    AU
 166.2270  -15.6737    NH    AU
 166.2700  -15.7993    NH    AU
 166.2850  -15.8875    NH    AU
 166.3400  -15.9749    NH    AU
 166.3950  -16.0875    NH    AU
 166.4500  -16.1874    NH    AU
 166.5060  -16.3000    NH    AU
 166.5620  -16.4378    NH    AU
 166.6040  -16.5380    NH    AU
 166.6590  -16.6251    NH    AU
 166.7280  -16.7372    NH    AU
 166.8100  -16.8363    NH    AU
 166.8680  -16.9866    NH    AU
 166.9500  -17.0982    NH    AU
 167.0590  -17.2090    NH    AU
 167.1550  -17.3074    NH    AU
 167.1710  -17.3955    NH    AU
 167.2150  -17.5206    NH    AU
 167.2450  -17.6335    NH    AU
 167.2750  -17.7590    NH    AU
 167.3200  -17.9219    NH    AU
 167.3500  -18.0221    NH    AU
 167.3940  -18.1472    NH    AU
 167.4240  -18.2473    NH    AU
 167.4550  -18.3601    NH    AU
 167.4860  -18.4855    NH    AU
 167.5040  -18.6113    NH    AU
 167.5210  -18.7118    NH    AU
 167.6070  -18.8859    NH    AU
 167.6800  -19.0477    NH    AU
 167.7270  -19.2356    NH    AU
 167.8120  -19.3716    NH    AU
 167.8860  -19.5332    NH    AU
 167.9430  -19.6322    NH    AU
 168.0030  -19.7690    NH    AU
 168.0750  -19.8926    NH    AU
 168.1600  -20.0031    NH    AU
 168.1910  -20.0903    NH    AU
 168.2630  -20.2012    NH    AU
 168.3350  -20.3246    NH    AU
 168.3960  -20.4737    NH    AU
 168.5120  -20.6457    NH    AU
 168.5850  -20.7815    NH    AU
 168.6450  -20.8926    NH    AU
 168.7050  -21.0162    NH    AU
 168.7760  -21.1015    NH    AU
 168.8790  -21.2610    NH    AU
 168.9960  -21.4198    NH    AU
 169.0540  -21.5055    NH    AU
 169.1430  -21.6401    NH    AU
 169.2150  -21.7250    NH    AU
 169.2880  -21.8225    NH    AU
 169.3200  -21.9092    NH    AU
 169.4190  -21.9801    NH    AU
 169.4910  -22.0522    NH    AU
 169.5770  -22.1236    NH    AU
 169.7190  -22.2298    NH    AU
 169.8350  -22.3499    NH    AU
 169.9500  -22.4447    NH    AU
 170.0360  -22.5157    NH    AU
 170.1090  -22.5873    NH    AU
 170.2210  -22.6442    NH    AU
 170.3210  -22.7017    NH    AU
 170.4200  -22.7591    NH    AU
 170.5470  -22.8274    NH    AU
 170.6600  -22.8838    NH    AU
 170.7450  -22.9166    NH    AU
 170.8420  -22.9486    NH    AU
 170.9390  -22.9680    NH    AU
 171.0370  -22.9998    NH    AU
 171.1620  -23.0299    NH    AU
 171.2880  -23.0724    NH    AU
 171.3850  -23.0915    NH    AU
 171.4960  -23.1096    NH    AU
 171.6200  -23.1268    NH    AU
 171.7030  -23.1464    NH    AU
 171.8540  -23.1491    NH    AU
 171.9500  -23.1553    NH    AU
 172.0600  -23.1730    NH    AU
 172.1970  -23.1763    NH    AU
 172.2780  -23.1707    NH    AU
 172.3610  -23.1775    NH    AU
 172.4390  -23.1781    NH    AU
>   CA   NA
 -61.5534   18.9589    CA    NA
 -62.1765   19.2752    CA    NA
 -62.8467   19.5743    CA    NA
 -63.3598   19.6915    CA    NA
 -63.7601   19.7242    CA    NA
 -64.3436   19.7794    CA    NA
 -65.1285   19.8329    CA    NA
 -65.6940   19.8288    CA    NA
 -66.2594   19.8246    CA    NA
 -67.0405   19.7543    CA    NA
 -67.5313   19.7213    CA    NA
 -68.0218   19.6870    CA    NA
 -68.8528   19.5890    CA    NA
 -69.4148   19.6961    CA    NA
 -69.9775   19.8015    CA    NA
 -70.6265   20.0022    CA    NA
 -71.2771   20.2005    CA    NA
 -71.8044   20.2665    CA    NA
 -72.3322   20.3310    CA    NA
 -73.2385   20.2913    CA    NA
 -73.9942   20.1659    CA    NA
 -74.7486   20.0372    CA    NA
 -75.2388   19.9902    CA    NA
 -75.7287   19.9419    CA    NA
 -76.3564   19.8453    CA    NA
 -76.9834   19.7465    CA    NA
 -77.6726   19.6228    CA    NA
 -78.3607   19.4965    CA    NA
 -79.0110   19.3815    CA    NA
 -79.6604   19.2642    CA    NA
 -80.2095   19.1597    CA    NA
 -80.7579   19.0536    CA    NA
 -81.2563   18.9598    CA    NA
 -81.7541   18.8647    CA    NA
 -81.6893   18.3332    CA    NA
 -81.6248   17.8016    CA    NA
 -82.2442   17.6907    CA    NA
 -82.8646   17.6257    CA    NA
 -83.7058   17.4809    CA    NA
 -84.2479   17.3440    CA    NA
 -84.9097   17.1066    CA    NA
 -85.6714   16.9110    CA    NA
 -86.3195   16.6945    CA    NA
 -86.9661   16.4759    CA    NA
 -87.7228   16.2506    CA    NA
 -88.3510   15.9583    CA    NA
 -88.8764   15.6222    CA    NA
 -89.3716   15.2150    CA    NA
 -89.7180   14.8151    CA    NA
 -90.0373   14.3923    CA    NA
 -90.4260   13.9172    CA    NA
 -90.8103   13.3941    CA    NA
 -90.8980   12.5837    CA    NA
>   CA   CO
 -90.8980   12.5837    CA    CO
 -90.2927   12.5426    CA    CO
 -89.6190   12.2948    CA    CO
 -88.9197   11.9992    CA    CO
 -88.3190   11.6968    CA    CO
 -87.8901   11.3967    CA    CO
 -87.4621   11.0959    CA    CO
 -86.9749   10.5473    CA    CO
 -86.6480   10.2350    CA    CO
>   CA   SA
 -63.8782   10.5316    CA    SA
 -63.2327   10.5091    CA    SA
 -62.6409   10.4818    CA    SA
 -62.1579   10.4585    CA    SA
 -61.5422   10.4273    CA    SA
 -60.9266   10.3949    CA    SA
 -60.4573   10.3453    CA    SA
 -59.9882   10.2951    CA    SA
 -59.1214   10.2200    CA    SA
 -58.6392   10.1902    CA    SA
 -58.1571   10.1597    CA    SA
>   CA   SA
 -58.1571   10.1597    CA    SA
 -57.7617   10.6345    CA    SA
 -57.5326   11.1438    CA    SA
 -57.4238   11.6612    CA    SA
 -57.4681   12.4273    CA    SA
 -57.5680   13.1016    CA    SA
 -57.7107   13.8740    CA    SA
 -57.7906   14.4989    CA    SA
 -57.9132   14.8642    CA    SA
 -58.2884   15.1500    CA    SA
 -58.5263   15.2839    CA    SA
 -58.6661   15.4116    CA    SA
 -58.6919   15.7703    CA    SA
 -58.8011   15.9911    CA    SA
 -58.8240   16.3970    CA    SA
 -59.0883   16.9121    CA    SA
 -59.4648   17.2431    CA    SA
 -59.8190   17.5484    CA    SA
 -60.0513   17.8225    CA    SA
 -60.2784   18.1910    CA    SA
 -60.5338   18.5131    CA    SA
 -60.7290   18.5946    CA    SA
 -60.9120   18.8885    CA    SA
 -61.5534   18.9589    CA    SA
>   CO   NA
 -90.8980   12.5837    CO    NA
 -91.3079   12.8322    CO    NA
 -91.7186   13.0801    CO    NA
 -92.0632   13.2712    CO    NA
 -92.2724   13.2233    CO    NA
 -92.5992   13.4980    CO    NA
 -92.9619   13.7221    CO    NA
 -93.3094   13.7932    CO    NA
 -93.6558   14.0161    CO    NA
 -94.0552   14.2221    CO    NA
 -94.5422   14.4786    CO    NA
 -94.8729   14.6998    CO    NA
 -95.1170   14.8866    CO    NA
 -95.4663   15.0902    CO    NA
 -95.7986   15.2765    CO    NA
 -96.2190   15.3609    CO    NA
 -96.7270   15.3601    CO    NA
 -97.2174   15.3584    CO    NA
 -97.6914   15.5080    CO    NA
 -98.1657   15.6399    CO    NA
 -98.5878   15.7715    CO    NA
 -99.0281   15.9191    CO    NA
 -99.4347   16.1340    CO    NA
 -99.8060   16.2980    CO    NA
-100.3360   16.4424    CO    NA
-100.8670   16.6363    CO    NA
-101.7030   17.0256    CO    NA
-102.4320   17.2799    CO    NA
-103.2000   17.6155    CO    NA
-103.7920   17.9200    CO    NA
-104.1910   18.1383    CO    NA
-104.4060   18.2090    CO    NA
-104.7250   18.3684    CO    NA
-105.0430   18.6216    CO    NA
-105.2470   18.7619    CO    NA
>   CO   PA
-105.5860   17.8808    CO    PA
-105.3990   17.7679    CO    PA
-105.3670   17.0308    CO    PA
-105.3980   16.2605    CO    PA
-105.3570   15.5576    CO    PA
-105.3200   15.1076    CO    PA
-104.6900   15.2745    CO    PA
-104.5630   14.6722    CO    PA
-104.4370   14.0698    CO    PA
-104.1810   13.3284    CO    PA
-103.9270   12.5868    CO    PA
-103.7720   11.8904    CO    PA
-103.8750   11.8723    CO    PA
-103.8070   11.4045    CO    PA
-103.7390   10.9366    CO    PA
-103.6280   10.2746    CO    PA
-103.5980   10.1232    CO    PA
-104.2960   10.0171    CO    PA
-104.2960    9.1747    CO    PA
-104.2580    8.4557    CO    PA
-104.2290    8.3400    CO    PA
-103.5950    8.3705    CO    PA
-102.9610    8.3999    CO    PA
-102.8100    7.7908    CO    PA
-102.6590    7.1817    CO    PA
-102.5580    6.3553    CO    PA
-102.4570    5.5290    CO    PA
-102.3200    4.6533    CO    PA
-102.1840    3.7775    CO    PA
-102.2590    3.7507    CO    PA
-102.1990    3.4582    CO    PA
-102.2190    3.2387    CO    PA
>   CO   NZ
 -99.7389    2.2688    CO    NZ
 -99.6570    2.1901    CO    NZ
 -98.9175    2.1122    CO    NZ
 -98.8886    2.2125    CO    NZ
 -98.3674    2.1446    CO    NZ
 -97.8463    2.0766    CO    NZ
 -97.5512    2.0884    CO    NZ
 -97.5851    1.8982    CO    NZ
 -96.8800    1.8857    CO    NZ
 -96.1750    1.8728    CO    NZ
 -96.1202    2.2378    CO    NZ
 -95.2241    2.2218    CO    NZ
 -95.1982    2.5069    CO    NZ
 -94.4044    2.4399    CO    NZ
 -93.6107    2.3725    CO    NZ
 -92.9279    2.2999    CO    NZ
 -92.2451    2.2269    CO    NZ
 -92.0902    2.1997    CO    NZ
 -92.1183    1.9901    CO    NZ
 -91.5376    2.0112    CO    NZ
 -91.5608    1.8166    CO    NZ
 -90.6973    1.7362    CO    NZ
 -90.6632    1.1204    CO    NZ
 -89.7836    1.0729    CO    NZ
 -88.9041    1.0251    CO    NZ
 -88.0245    0.9771    CO    NZ
 -87.1450    0.9289    CO    NZ
 -86.2656    0.8805    CO    NZ
 -85.3861    0.8318    CO    NZ
 -85.3494    1.6444    CO    NZ
 -84.5759    1.5981    CO    NZ
 -84.5713    2.0662    CO    NZ
 -84.5667    2.5342    CO    NZ
 -84.4671    3.1123    CO    NZ
 -83.9225    3.1387    CO    NZ
 -83.3779    3.1648    CO    NZ
 -82.8064    3.1179    CO    NZ
 -82.8750    3.5949    CO    NZ
 -82.8750    4.0719    CO    NZ
 -82.8750    4.5630    CO    NZ
 -82.8750    5.0542    CO    NZ
 -82.8750    5.8330    CO    NZ
 -82.8750    6.5623    CO    NZ
 -82.8749    7.1180    CO    NZ
 -82.8748    7.3664    CO    NZ
>   EU   IN
  65.0282   24.3824    EU    IN
  65.4921   24.6201    EU    IN
  65.9578   24.8564    EU    IN
  66.5296   25.1787    EU    IN
  67.1044   25.4987    EU    IN
  67.2681   25.9839    EU    IN
  67.2526   26.5184    EU    IN
  67.2478   27.0854    EU    IN
  67.3322   27.9115    EU    IN
  67.3421   28.4041    EU    IN
  67.2397   28.5731    EU    IN
  67.2767   29.3768    EU    IN
  67.3011   29.7948    EU    IN
  67.8492   30.0735    EU    IN
  68.3105   29.8780    EU    IN
  68.6795   29.2090    EU    IN
  69.0855   29.0959    EU    IN
  69.8806   29.2618    EU    IN
  70.0995   29.8402    EU    IN
  70.1783   30.4230    EU    IN
  70.2580   31.0057    EU    IN
  70.1010   31.4594    EU    IN
  69.9425   31.9130    EU    IN
  70.4394   32.4310    EU    IN
  70.9421   32.9471    EU    IN
  71.3920   33.4768    EU    IN
  71.8474   34.0048    EU    IN
  72.4591   34.6822    EU    IN
>   EU   IN
  72.4591   34.6822    EU    IN
  73.0296   34.1759    EU    IN
  73.5933   33.6669    EU    IN
  74.3142   33.1594    EU    IN
  75.0894   32.8806    EU    IN
  75.6749   32.1894    EU    IN
  75.7220   31.6333    EU    IN
  76.5210   31.1537    EU    IN
  77.0067   30.7376    EU    IN
  77.6407   30.5580    EU    IN
  78.0762   30.2261    EU    IN
  78.4224   29.8869    EU    IN
  78.9118   29.6776    EU    IN
  79.1969   29.3934    EU    IN
  79.7898   29.1428    EU    IN
  80.2265   29.0930    EU    IN
  80.5465   28.9750    EU    IN
  81.0430   28.7902    EU    IN
  81.3610   28.4135    EU    IN
  82.2004   28.1669    EU    IN
  82.9354   27.8815    EU    IN
  83.6667   27.5929    EU    IN
  84.1585   27.4519    EU    IN
  84.6491   27.3091    EU    IN
  85.6219   27.1704    EU    IN
  86.2515   27.0946    EU    IN
  86.4809   26.7372    EU    IN
  86.8204   26.6683    EU    IN
  87.2186   27.0220    EU    IN
  87.7450   26.9089    EU    IN
  88.3200   26.8850    EU    IN
  89.2821   27.0268    EU    IN
  89.7724   26.8472    EU    IN
  90.3294   26.9370    EU    IN
  91.2580   27.0075    EU    IN
  91.7812   27.0329    EU    IN
  92.3047   27.0564    EU    IN
  93.2334   27.1165    EU    IN
  93.5704   27.1098    EU    IN
  94.1890   27.5008    EU    IN
  94.8287   27.9182    EU    IN
  95.4657   28.1832    EU    IN
  96.2345   28.1349    EU    IN
  96.7916   28.1099    EU    IN
  97.3484   28.0826    EU    IN
>   NA   EU
 125.6790   78.1326    NA    EU
 126.4570   77.6844    NA    EU
 127.1810   77.2341    NA    EU
 127.6340   76.6425    NA    EU
 128.0500   76.0501    NA    EU
 128.5190   75.4945    NA    EU
 128.9550   74.9380    NA    EU
 129.5950   74.4788    NA    EU
 130.2000   74.0179    NA    EU
 131.2630   73.3715    NA    EU
 132.4830   72.6946    NA    EU
 133.2670   72.2815    NA    EU
 134.0170   71.8654    NA    EU
 134.8540   71.2683    NA    EU
 135.5950   70.6916    NA    EU
 135.9620   70.5295    NA    EU
 136.7580   69.9536    NA    EU
 137.3680   69.6349    NA    EU
 138.5230   69.0423    NA    EU
 138.9630   68.4765    NA    EU
 139.3810   67.9097    NA    EU
 140.3300   67.4472    NA    EU
 141.2420   66.9794    NA    EU
 142.5030   66.6537    NA    EU
 143.7310   66.3181    NA    EU
 144.3440   65.8035    NA    EU
 144.9320   65.2865    NA    EU
>   NA   EU
 -15.7156   69.5499    NA    EU
 -15.4245   69.8397    NA    EU
 -15.0245   70.1685    NA    EU
 -14.7339   70.3891    NA    EU
 -14.4479   70.3539    NA    EU
 -14.2367   70.5174    NA    EU
 -14.0364   70.7261    NA    EU
 -13.8924   70.8158    NA    EU
 -13.3957   70.7716    NA    EU
 -12.9046   70.6977    NA    EU
 -12.2549   70.5630    NA    EU
 -12.0094   70.7065    NA    EU
 -11.6689   70.8763    NA    EU
 -11.3563   71.0519    NA    EU
 -11.8649   71.1472    NA    EU
 -12.3591   71.2522    NA    EU
 -12.1057   71.3958    NA    EU
 -11.7138   71.5878    NA    EU
 -11.3695   71.7744    NA    EU
 -10.3560   71.6145    NA    EU
  -9.3934   71.4561    NA    EU
  -7.9412   71.2166    NA    EU
  -7.3747   71.1248    NA    EU
  -6.8999   71.2816    NA    EU
  -6.3327   71.3872    NA    EU
  -5.9171   71.4646    NA    EU
  -5.6985   71.5398    NA    EU
  -5.1573   71.4310    NA    EU
  -4.7412   71.3332    NA    EU
  -4.3604   71.4324    NA    EU
  -4.0724   71.4905    NA    EU
  -3.6923   71.3980    NA    EU
  -2.9366   71.5002    NA    EU
  -2.3989   71.5917    NA    EU
  -1.7425   71.6851    NA    EU
  -0.9750   71.8151    NA    EU
  -0.3925   71.9105    NA    EU
   0.2811   72.0148    NA    EU
   0.9007   72.1337    NA    EU
   1.9906   72.3278    NA    EU
   2.7810   72.4331    NA    EU
   3.6094   72.5801    NA    EU
   4.2999   72.6970    NA    EU
